Amount,GTime,Greedy,DPTime,DP
2010,2.35E-05,41,0.006518377,41
2015,2.60E-05,42,0.008222078,42
2020,1.99E-05,42,0.005109895,42
2025,1.45E-05,41,0.005632718,41
2030,1.45E-05,42,0.005066427,42
2035,1.57E-05,42,0.006005817,42
2040,1.51E-05,43,0.005102651,43
2045,1.63E-05,43,0.007347286,43
2050,1.33E-05,41,0.005342328,41
2055,1.33E-05,42,0.008469,42
2060,1.33E-05,42,0.005275919,42
2065,1.57E-05,43,0.005186568,43
2070,4.59E-05,43,0.005182342,43
2075,1.75E-05,42,0.00525177,42
2080,2.66E-05,43,0.007649146,43
2085,1.39E-05,43,0.005259014,43
2090,1.45E-05,44,0.006480946,44
2095,1.33E-05,44,0.00540753,44
2100,1.27E-05,42,0.005395455,42
2105,1.21E-05,43,0.005470921,43
2110,1.27E-05,43,0.00733823,43
2115,1.51E-05,44,0.008969484,44
2120,1.33E-05,44,0.005351384,44
2125,1.33E-05,43,0.005684034,43
2130,1.63E-05,44,0.005326631,44
2135,1.51E-05,44,0.006110261,44
2140,1.51E-05,45,0.00535078,45
2145,1.45E-05,45,0.005926126,45
2150,1.27E-05,43,0.005375533,43
2155,1.39E-05,44,0.005691882,44
2160,1.39E-05,44,0.005443149,44
2165,1.39E-05,45,0.007711933,45
2170,1.33E-05,45,0.005396663,45
2175,2.05E-05,44,0.009192861,44
2180,1.51E-05,45,0.007192129,45
2185,1.45E-05,45,0.005466695,45
2190,1.45E-05,46,0.00781034,46
2195,1.45E-05,46,0.005667734,46
2200,1.45E-05,44,0.005535519,44
