Amount,Greedy Time,Greedy,DPTime,DP
2000,2.41E-05,36,0.010286804,36
2001,3.08E-05,37,0.008019831,37
2002,2.17E-05,37,0.00714685,37
2003,2.35E-05,38,0.010024789,38
2004,2.54E-05,34,0.010458864,34
2005,1.93E-05,35,0.007079234,35
2006,2.11E-05,35,0.009296701,35
2007,1.93E-05,36,0.010051353,36
2008,2.35E-05,36,0.010032033,36
2009,2.29E-05,37,0.01049388,37
2010,2.54E-05,35,0.010356232,35
2011,2.05E-05,36,0.010340535,36
2012,2.17E-05,36,0.010481806,36
2013,2.29E-05,37,0.009840654,37
2014,2.11E-05,37,0.010042297,37
2015,2.23E-05,38,0.009999433,38
2016,2.17E-05,35,0.009270137,34
2017,2.05E-05,36,0.010307934,35
2018,1.93E-05,36,0.009273156,35
2019,2.35E-05,37,0.010717257,36
2020,2.23E-05,37,0.010299482,36
2021,2.29E-05,38,0.010113536,37
2022,2.11E-05,36,0.007337022,35
2023,1.63E-05,37,0.006442912,36
2024,1.69E-05,37,0.006604709,36
2025,2.60E-05,38,0.009416842,37
2026,3.08E-05,38,0.007283291,37
2027,3.56E-05,39,0.007757816,38
2028,4.59E-05,34,0.008391723,34
2029,2.23E-05,35,0.011275699,35
2030,3.56E-05,35,0.012041821,35
2031,3.02E-05,36,0.007873127,36
2032,2.90E-05,36,0.007888824,36
2033,2.96E-05,37,0.007479501,37
2034,2.54E-05,35,0.007402224,35
2035,2.96E-05,36,0.008219059,36
2036,2.96E-05,36,0.008249849,36
2037,2.60E-05,37,0.010262051,37
2038,3.62E-05,37,0.007240427,37
2039,2.90E-05,38,0.008241397,38
2040,2.78E-05,34,0.008122464,34
2041,2.60E-05,35,0.007521157,35
2042,2.66E-05,35,0.007394376,35
2043,2.78E-05,36,0.010116554,36
2044,2.60E-05,36,0.016778617,36
2045,3.38E-05,37,0.008820365,37
2046,2.60E-05,35,0.009576224,35
2047,2.41E-05,36,0.00860544,36
2048,0.000149723,36,0.009299116,36
2049,3.08E-05,37,0.008787764,37
2050,2.54E-05,37,0.006904758,37
2051,1.69E-05,38,0.008545672,38
2052,3.44E-05,35,0.009200106,35
2053,2.66E-05,36,0.010051353,36
2054,2.41E-05,36,0.01034778,36
2055,3.26E-05,37,0.01102274,37
2056,2.23E-05,37,0.011171859,37
2057,2.78E-05,38,0.010632132,38
2058,2.41E-05,36,0.00927376,36
2059,2.29E-05,37,0.010318801,37
2060,2.72E-05,37,0.006701908,37
2061,2.78E-05,38,0.007580926,38
2062,2.41E-05,38,0.009546642,38
2063,2.96E-05,39,0.0102699,39
2064,2.90E-05,35,0.00723922,35
2065,1.87E-05,36,0.006526829,36
2066,1.93E-05,36,0.006681985,36
2067,1.57E-05,37,0.006483361,37
2068,1.69E-05,37,0.00995355,37
2069,1.57E-05,38,0.007697444,38
2070,1.51E-05,36,0.00647189,36
2071,1.75E-05,37,0.009469365,37
2072,1.57E-05,37,0.006653006,37
2073,1.81E-05,38,0.006508113,38
2074,1.81E-05,38,0.008405005,38
2075,1.57E-05,39,0.006535281,39
2076,1.99E-05,36,0.009913704,35
2077,1.69E-05,37,0.009868425,36
2078,1.81E-05,37,0.006564259,36
2079,1.81E-05,38,0.008379045,37
2080,2.48E-05,38,0.009086002,37
2081,2.60E-05,39,0.010354421,38
2082,2.72E-05,37,0.010141307,36
2083,3.86E-05,38,0.01029586,37
2084,2.66E-05,38,0.010895958,37
2085,3.32E-05,39,0.008394742,38
2086,2.78E-05,39,0.010650848,38
2087,2.90E-05,40,0.010877847,39
2088,2.35E-05,35,0.007957044,35
2089,3.68E-05,36,0.010235487,36
2090,4.77E-05,36,0.010700353,36
2091,3.20E-05,37,0.010429282,37
2092,3.92E-05,37,0.01024394,37
2093,2.54E-05,38,0.011698304,38
2094,2.90E-05,36,0.011118731,36
