Amount,Greedy Time,Greedy,DP Time,DP
2000,3.02E-05,67,0.018533634,67
2001,2.66E-05,68,0.01817442,68
2002,2.60E-05,67,0.017181299,67
2003,2.54E-05,68,0.019080001,68
2004,2.90E-05,67,0.01776389,67
2005,2.60E-05,68,0.017346718,68
2006,3.14E-05,67,0.014363129,67
2007,2.96E-05,68,0.016493057,68
2008,2.66E-05,67,0.0178629,67
2009,3.62E-05,68,0.01300536,68
2010,2.78E-05,67,0.016462267,67
2011,2.72E-05,68,0.015705201,68
2012,5.25E-05,68,0.016616819,68
2013,2.96E-05,69,0.019672252,69
2014,1.69E-05,68,0.013545086,68
2015,3.20E-05,69,0.013117652,69
2016,1.51E-05,68,0.011399462,68
2017,1.45E-05,69,0.013381478,69
2018,1.51E-05,68,0.013432794,68
2019,2.66E-05,69,0.014903459,69
2020,2.96E-05,68,0.015564534,68
2021,2.54E-05,69,0.016638553,69
2022,2.90E-05,68,0.018654982,68
2023,2.11E-05,69,0.0154293,69
2024,2.11E-05,68,0.017143868,68
2025,2.11E-05,69,0.017379923,69
2026,2.11E-05,68,0.017358793,68
2027,2.23E-05,69,0.015821719,69
2028,2.23E-05,68,0.01776389,68
2029,1.99E-05,69,0.017716196,69
2030,2.35E-05,68,0.018319917,68
2031,2.05E-05,69,0.014818334,69
2032,1.99E-05,68,0.015544611,68
2033,2.11E-05,69,0.012961288,69
2034,2.05E-05,68,0.016747827,68
2035,2.41E-05,69,0.012260972,69
2036,1.57E-05,68,0.011613783,68
2037,1.51E-05,69,0.014843087,69
2038,1.45E-05,68,0.017049687,68
2039,2.23E-05,69,0.015518651,69
2040,2.48E-05,68,0.014649896,68
2041,3.14E-05,69,0.012427599,69
2042,2.78E-05,69,0.018113444,69
2043,2.60E-05,70,0.015765573,70
2044,2.78E-05,69,0.014270759,69
2045,2.54E-05,70,0.016648817,70
2046,2.78E-05,69,0.018014434,69
2047,3.08E-05,70,0.01668504,70
2048,2.72E-05,69,0.017400449,69
2049,2.90E-05,70,0.014066098,70
2050,2.72E-05,69,0.013030716,69
2051,2.90E-05,70,0.017974588,70
2052,3.02E-05,69,0.017236841,69
2053,2.78E-05,70,0.030289291,70
2054,2.78E-05,69,0.019149429,69
2055,3.20E-05,70,0.029693418,70
2056,5.01E-05,69,0.021757505,69
2057,3.02E-05,70,0.016604745,70
2058,2.84E-05,69,0.018499222,69
2059,2.90E-05,70,0.01752059,70
2060,2.35E-05,69,0.011814822,69
2061,1.45E-05,70,0.011677777,70
2062,1.45E-05,69,0.013859021,69
2063,1.45E-05,70,0.011826896,70
2064,1.39E-05,69,0.013091088,69
2065,1.63E-05,70,0.012404657,70
2066,1.45E-05,69,0.01501877,69
2067,1.45E-05,70,0.011721849,70
2068,1.51E-05,69,0.016283565,69
2069,3.02E-05,70,0.016630705,70
2070,3.20E-05,69,0.016841404,69
2071,4.17E-05,70,0.01767152,70
2072,2.90E-05,70,0.018202191,70
2073,2.90E-05,71,0.017527231,71
2074,2.41E-05,70,0.018405041,70
2075,3.32E-05,71,0.016971807,71
2076,3.44E-05,70,0.022621429,70
2077,2.48E-05,71,0.017294194,71
2078,2.66E-05,70,0.015021185,70
2079,2.54E-05,71,0.017349737,71
2080,1.99E-05,70,0.015869413,70
